property_id,property_type,heating_type,parking_type,roof_type,has_pool,has_basement,hoa_flag,zipcode,builder_name,neighborhood,street_name,quality_grade,condition_grade,school_zone_grade,area_sqft,lot_size_sqft,num_bedrooms,num_bathrooms,garage_size,house_age,distance_to_city_center_km,distance_to_metro_km,school_rating,crime_index,median_neighborhood_income_k,nearby_hospitals_count,nearby_malls_count,annual_property_tax,hoa_fee,energy_efficiency_score,renovation_score,builder_reputation_score,random_hash_bucket,noise_feature_uniform,noise_feature_normal,sale_price
PROP_004768,Single_Family,Electric,Street,Tile,No,No,No,ZIP_083,Builder_010,Neighborhood_37,Street_205,excellent,fair,A+,2907.8,7915.1,4,3.9,1,3.5,4.22,2.93,8.76,1.34,123.62,1,1,5107.66,0.0,76.8,76.89,10.0,152,0.6983,-0.3285,2035398.89
PROP_008969,Condo,Electric,Covered,Asphalt,No,Yes,No,ZIP_080,Builder_061,Neighborhood_12,Street_188,luxury,excellent,A+,2163.0,1494.1,5,4.4,2,24.9,10.25,4.97,9.31,1.63,133.52,2,5,5392.68,0.0,71.57,100.0,6.97,228,0.6528,-1.257,1904372.82
PROP_001140,Apartment,Electric,Garage,Asphalt,No,No,Yes,ZIP_008,Builder_026,Neighborhood_54,Street_253,very_good,fair,A+,945.6,3450.5,2,1.7,1,15.5,6.19,2.84,10.0,2.67,149.05,4,4,4477.96,125.19,58.42,62.98,9.05,9,0.6985,-0.6278,1190836.11
PROP_002373,Single_Family,Electric,Driveway,Flat,No,Yes,No,ZIP_055,Builder_058,Neighborhood_26,Street_181,,excellent,A+,1889.1,4734.2,3,2.9,1,26.1,13.42,2.2,10.0,0.0,150.19,3,3,4784.86,0.0,52.88,87.86,5.23,488,0.2902,-0.9624,1530678.3
PROP_007900,Condo,Electric,Driveway,Asphalt,No,No,No,ZIP_024,Builder_003,Neighborhood_20,Street_096,luxury,very_good,A+,1227.4,1568.8,2,2.0,1,17.8,11.41,5.36,10.0,1.69,142.74,3,2,3567.3,0.0,64.55,78.0,10.0,467,0.0535,0.4386,1409852.98
PROP_002272,Single_Family,Heat_Pump,Garage,Metal,No,No,No,ZIP_084,Builder_011,Neighborhood_60,Street_039,good,good,B,1109.6,4457.3,4,3.5,2,24.2,6.08,2.61,7.43,2.18,103.3,3,3,3567.35,0.0,56.1,73.0,5.7,311,0.9205,0.9038,1124413.57
PROP_004990,Townhouse,Electric,Garage,Tile,Yes,No,No,ZIP_117,Builder_060,Neighborhood_21,Street_059,poor,very_good,A,1882.2,2236.2,3,3.3,1,21.0,3.99,3.5,6.84,5.29,86.28,2,3,2448.0,0.0,42.61,86.77,8.53,401,0.2012,0.6842,1127532.08
PROP_008317,Single_Family,Electric,Driveway,Asphalt,No,Yes,Yes,ZIP_101,Builder_079,Neighborhood_60,Street_105,very_good,good,B,2373.6,6590.7,3,2.9,1,21.4,13.14,3.52,6.66,5.05,99.81,1,3,2958.32,84.32,60.0,82.86,6.99,107,0.8016,-0.9848,1174103.14
PROP_008848,Single_Family,Gas,Garage,Asphalt,No,No,No,ZIP_032,Builder_037,Neighborhood_38,Street_217,very_good,good,C,2624.9,9500.4,5,4.8,1,18.0,16.05,5.42,2.54,8.76,35.39,3,3,4908.91,0.0,62.89,78.09,8.3,421,0.3891,-0.4878,1443658.89
PROP_007766,Single_Family,Heat_Pump,Garage,Flat,No,No,Yes,ZIP_061,Builder_061,Neighborhood_01,Street_195,good,excellent,C,1608.3,4883.3,3,3.7,2,37.0,13.21,4.78,2.27,7.83,33.38,6,2,3355.26,140.47,49.79,79.67,6.29,37,0.9094,-0.2417,977339.26
