customer_id,monthly_recharge_amount,call_duration,data_usage,roaming_usage,complaint_count,sms_count,payment_delay,plan_type
CUST_00001,770.28,407.0,13.96,7.17,0,106.0,0.5,International
CUST_00002,1333.66,563.0,58.12,1.76,0,145.0,0.7,Unlimited
CUST_00003,139.52,79.0,2.02,0.11,0,54.0,0.9,Basic
CUST_00004,1433.28,727.0,57.76,2.55,0,198.0,0.8,Premium
CUST_00005,1103.19,486.0,53.98,2.2,0,132.0,0.4,Premium
CUST_00006,817.91,391.0,14.7,7.44,0,87.0,1.1,Standard
CUST_00007,157.07,137.0,1.41,0.07,1,21.0,0.5,Basic
CUST_00008,1193.66,624.0,48.2,1.74,0,139.0,0.2,Unlimited
CUST_00009,789.81,445.0,12.59,7.2,0,115.0,5.4,International
CUST_00010,148.33,60.0,2.25,0.13,0,54.0,1.4,Prepaid
CUST_00011,335.1,235.0,8.52,0.44,0,150.0,0.1,Standard
CUST_00012,364.45,140.0,7.23,0.38,5,80.0,0.0,Standard
CUST_00013,847.03,731.0,52.47,2.11,0,134.0,0.6,Unlimited
CUST_00014,1125.6,548.0,49.97,0.43,0,258.0,0.2,Unlimited
CUST_00015,430.01,196.0,9.17,0.3,1,196.0,1.7,Postpaid
CUST_00016,620.69,527.0,12.92,12.3,0,81.0,1.9,Standard
CUST_00017,168.98,99.0,2.0,0.09,1,49.0,1.2,Basic
CUST_00018,1089.44,52.0,108.44,1.08,0,88.0,0.8,Data Plan
CUST_00019,1097.15,221.0,19.09,4.52,0,111.0,1.9,International
CUST_00020,260.15,177.0,9.55,0.79,8,148.0,0.7,Standard
CUST_00021,986.47,305.0,69.34,0.41,0,45.0,3.0,Data Plan
CUST_00022,293.71,306.0,6.45,0.26,0,127.0,0.1,Postpaid
CUST_00023,1281.84,735.0,52.91,2.18,0,210.0,0.8,Unlimited
CUST_00024,581.11,187.0,84.44,1.29,0,93.0,1.2,Unlimited
CUST_00025,1787.89,636.0,22.54,2.08,0,228.0,0.2,Unlimited
CUST_00026,1022.82,282.0,66.36,0.82,0,62.0,1.6,Unlimited
CUST_00027,169.36,119.0,1.31,0.14,0,43.0,0.2,Basic
CUST_00028,390.25,348.0,10.32,0.42,8,134.0,6.3,Standard
CUST_00029,737.27,412.0,16.63,8.21,0,53.0,3.6,International
CUST_00030,880.85,271.0,96.74,1.37,0,103.0,1.6,Data Plan
CUST_00031,167.85,119.0,1.95,0.1,0,46.0,0.9,Basic
CUST_00032,416.23,371.0,8.4,0.29,0,148.0,2.1,Standard
CUST_00033,1221.74,713.0,50.99,2.67,2,187.0,0.8,Premium
CUST_00034,1150.1,562.0,57.18,2.02,0,107.0,0.1,Unlimited
CUST_00035,462.3,146.0,10.83,0.34,0,97.0,13.2,Basic
CUST_00036,400.3,182.0,13.29,0.42,0,167.0,0.5,Postpaid
CUST_00037,1191.13,676.0,37.33,2.83,0,176.0,0.1,Unlimited
CUST_00038,177.54,138.0,2.11,0.08,0,33.0,1.4,Basic
CUST_00039,367.62,246.0,12.11,,1,175.0,0.5,Standard
CUST_00040,828.41,289.0,13.55,7.03,3,37.0,8.3,Standard
CUST_00041,1023.82,551.0,30.27,2.72,1,260.0,0.0,Unlimited
CUST_00042,113.37,169.0,2.48,0.1,0,58.0,0.3,Basic
CUST_00043,289.02,206.0,5.89,0.34,2,172.0,3.2,Basic
CUST_00044,94.0,56.0,2.13,0.08,0,44.0,7.1,Basic
CUST_00045,1048.03,228.0,83.53,0.94,0,45.0,2.6,Data Plan
CUST_00046,155.91,56.0,1.66,0.14,0,53.0,0.2,Basic
CUST_00047,1312.15,648.0,41.74,2.29,1,272.0,1.9,Premium
CUST_00048,283.55,287.0,14.12,0.37,2,137.0,1.6,Postpaid
CUST_00049,199.2,108.0,2.01,0.17,0,64.0,1.7,Prepaid
CUST_00050,377.79,283.0,9.53,0.39,0,148.0,4.1,Standard
CUST_00051,446.35,326.0,9.87,0.51,0,112.0,2.8,Standard
CUST_00052,526.72,229.0,6.71,0.4,4,104.0,2.5,Basic
