age,years_employed,annual_income,credit_score,dti_ratio,existing_debt,loan_purpose,employment_type,monthly_expenses,num_dependents,savings_balance,num_open_credit_lines,num_previous_defaults,property_owned,loan_term_months,market_rate,recommended_loan_amount
44,21,111847.46,626,0.3202,,home_purchase,salaried,5482.05,2,128214.1,7,0,1,120,6.978,73744.17
38,15,44789.71,637,0.2477,10795.74,personal,salaried,1183.8,0,11082.77,3,0,0,60,6.478,28612.28
46,24,120535.77,624,0.2443,34350.27,home_purchase,self_employed,4304.42,3,50514.25,6,0,1,84,7.248,71414.88
55,36,26826.55,662,0.2992,8484.04,auto,contract,824.15,1,6641.62,0,0,0,48,5.904,26179.55
37,12,101526.65,618,0.14,,business,salaried,3720.98,1,66202.58,5,0,1,48,6.57,59251.02
37,11,45086.76,638,0.2019,8498.95,personal,salaried,1720.56,0,6153.56,5,0,0,60,7.186,28698.79
55,37,68181.07,658,0.2669,19168.14,auto,salaried,3538.81,0,29947.87,7,0,1,120,7.646,50228.42
47,23,29015.78,579,0.3397,10565.28,personal,salaried,973.98,2,26845.88,4,0,0,180,6.809,24919.23
35,7,231295.45,754,0.2447,57745.42,education,salaried,6731.26,1,25335.66,6,0,0,24,7.25,116902.22
45,21,49071.31,689,0.1017,5882.85,business,salaried,1424.79,3,52317.89,4,0,0,84,6.48,37876.21
35,11,114471.26,624,0.2491,30267.02,business,self_employed,5404.83,0,456080.53,6,1,0,36,6.484,107655.7
35,17,34583.15,588,0.3359,10061.3,refinance,self_employed,1333.96,0,16691.59,4,0,0,120,4.916,22964.51
42,23,72361.33,639,0.2137,,personal,salaried,3839.39,1,40579.76,4,2,0,84,6.165,48326.59
22,4,30293.16,630,0.2583,,refinance,salaried,1140.55,0,5168.06,4,0,1,36,5.532,18269.47
22,3,18000.0,635,0.2898,4782.79,business,self_employed,961.76,2,7345.0,5,0,1,120,5.375,12234.84
34,15,56447.75,609,0.2847,19136.99,home_purchase,salaried,2399.57,3,46795.21,3,1,1,84,8.018,37899.77
29,4,19580.6,598,0.3119,6676.73,home_purchase,self_employed,978.61,4,17676.22,1,0,0,240,6.461,15246.96
43,20,78862.95,626,0.2635,19075.43,personal,salaried,3452.17,0,40541.79,3,0,0,36,5.96,50201.35
30,4,41673.42,591,0.3198,15732.56,business,salaried,1472.32,3,19152.33,1,0,1,360,5.41,25910.91
25,2,28433.92,578,0.328,7687.36,home_purchase,salaried,755.79,4,,5,0,1,48,8.605,18092.0
54,34,134548.78,631,0.3122,42001.89,home_purchase,salaried,3660.47,1,64015.05,5,0,0,36,7.211,80346.02
37,15,45392.0,646,0.3011,11827.23,refinance,salaried,1455.07,2,21318.13,2,0,0,48,5.362,30257.12
40,22,84727.2,646,0.3105,30773.14,education,salaried,3288.38,4,32279.93,0,0,0,180,6.947,53042.67
25,0,30037.69,649,0.2355,5751.17,home_purchase,salaried,1183.22,1,,5,0,0,36,6.661,21396.98
34,14,96776.57,672,0.2257,,home_purchase,part_time,4204.65,3,32087.81,5,0,0,60,6.21,55161.16
41,14,151180.03,659,0.2643,45744.7,medical,salaried,4855.46,3,61586.39,4,0,1,360,7.234,85762.59
28,6,58111.2,576,0.3974,21039.15,auto,salaried,2605.44,0,36523.34,4,0,0,60,6.264,34976.17
43,23,53865.53,692,0.2476,,business,contract,2828.31,0,28554.83,3,0,0,84,6.613,40507.78
33,10,33764.87,546,0.3997,11268.66,auto,contract,1602.91,0,32578.62,3,0,0,84,5.601,23123.21
37,17,85863.59,628,0.3451,25595.46,personal,salaried,4362.15,1,202551.38,3,0,1,120,6.21,69623.23
33,7,47936.1,600,0.3607,20467.04,refinance,contract,1899.52,2,233402.68,2,0,0,360,7.788,52203.65
58,29,180870.79,678,0.3144,50637.29,education,salaried,8155.4,0,320866.09,5,0,1,36,7.079,134492.49
39,19,118508.1,629,0.2231,24236.27,refinance,salaried,5273.07,3,24603.5,5,0,0,120,6.516,66093.7
29,11,23809.14,558,0.2553,,auto,salaried,1118.25,5,18110.76,4,0,0,60,5.615,17872.26
48,22,52201.09,599,0.2439,11674.43,business,salaried,1539.54,2,50703.83,7,0,0,84,6.236,37849.5
27,9,34787.39,604,0.3401,11908.23,home_purchase,salaried,1207.0,2,45187.39,3,0,1,48,6.444,24176.45
42,20,94250.5,657,0.2415,20910.59,home_purchase,self_employed,3309.19,1,54077.19,4,0,1,36,6.779,57689.51
22,0,56407.19,592,0.2607,15961.87,personal,salaried,1473.83,2,,4,0,0,36,6.959,29906.24
26,0,35187.9,580,0.2764,11561.05,refinance,self_employed,1279.25,1,5571.91,4,0,0,84,7.678,19757.62
41,19,32272.32,575,0.3239,8848.38,business,self_employed,841.65,0,13316.59,3,0,1,60,6.409,22382.7
47,23,46354.94,628,0.2363,12271.07,home_purchase,part_time,1620.69,2,58151.65,2,0,0,84,5.79,37390.2
41,13,39945.04,613,0.2542,10442.52,home_purchase,salaried,1145.16,1,31099.9,6,2,0,36,6.019,29020.01
38,9,88501.36,648,0.245,22043.39,home_purchase,salaried,2299.28,1,18203.16,2,0,1,48,4.957,49262.14
36,10,76287.22,610,0.3268,,auto,salaried,3404.49,2,101631.81,0,0,1,60,6.078,52037.43
25,3,24703.95,563,0.2236,6234.88,auto,self_employed,678.26,4,38678.82,3,1,0,36,6.414,16601.27
32,9,53426.5,615,0.2786,16124.25,home_purchase,salaried,2447.2,1,8512.62,1,1,0,36,5.891,32218.72
35,10,83937.25,651,0.2407,20233.03,medical,self_employed,4011.08,0,48098.9,5,0,0,120,5.049,52441.79
50,28,23047.51,582,0.3266,6108.6,education,self_employed,1226.41,0,24675.76,8,0,1,120,4.162,23192.74
43,25,49485.09,604,0.2785,13238.89,home_purchase,self_employed,1265.22,0,9824.86,3,1,0,36,4.435,31156.71
22,1,37129.33,558,0.2634,11337.96,business,contract,1205.51,2,40217.14,4,0,0,36,5.93,21884.73
43,20,50271.21,581,0.4042,,refinance,salaried,2132.41,0,28618.47,6,0,1,60,6.441,34038.4
36,17,92440.44,624,0.3505,30879.46,home_purchase,contract,2440.37,4,121363.9,2,0,1,36,7.265,60987.72
33,7,80522.17,600,0.2987,19878.81,personal,salaried,3120.62,1,49443.76,5,1,0,48,4.868,47377.57
46,23,30895.69,642,0.2931,10750.06,refinance,salaried,1604.76,1,78638.64,4,0,1,60,7.539,33412.74
50,27,76425.69,643,0.2257,15391.81,home_purchase,salaried,4138.47,3,37195.45,2,1,0,240,8.702,52315.19
49,22,99664.1,695,0.245,26033.03,auto,salaried,5060.3,3,58884.29,6,0,0,24,7.782,67427.58
31,7,61960.89,663,0.3848,24728.31,home_purchase,self_employed,3096.98,4,17274.54,5,0,0,48,9.116,39392.34
36,5,31809.82,601,0.3478,,home_purchase,salaried,1565.25,2,25866.34,6,1,1,60,6.017,25208.38
43,25,80599.21,572,0.2488,17726.22,personal,part_time,4233.9,5,78924.75,5,0,1,60,7.742,54436.43
49,23,49456.45,638,0.2859,16626.85,home_purchase,part_time,1873.33,1,75095.11,6,1,0,24,6.974,42231.95
35,17,82285.16,678,0.2479,,education,salaried,4038.03,0,80477.89,7,0,1,360,6.541,54876.52
38,16,253694.82,753,0.2289,54988.7,education,self_employed,10138.93,0,,5,0,0,84,6.778,132231.4
28,8,38867.88,619,0.3651,14192.44,education,salaried,1670.44,3,4878.15,6,0,1,240,8.901,23492.35
28,4,48002.39,600,0.2409,11653.4,refinance,contract,1289.26,0,52184.11,4,0,0,84,6.205,30059.29
48,26,58279.33,590,0.2817,13963.75,business,salaried,1621.73,2,13522.23,2,1,0,84,8.778,36400.02
53,33,30050.15,643,0.2067,7389.25,medical,self_employed,967.56,3,12163.4,0,0,0,180,6.393,27343.12
39,19,110410.71,648,0.2709,27587.93,personal,self_employed,5302.93,3,20268.93,3,0,1,12,7.36,63653.88
50,31,1055225.65,636,0.2721,10613.49,education,contract,1261.99,2,20370.67,7,0,0,180,6.762,200000.0
43,19,59006.87,606,0.3872,26336.41,home_purchase,contract,2773.11,4,66922.67,5,1,1,84,4.354,45097.91
33,9,5024386.22,745,0.1647,28886.06,business,salaried,6653.46,3,332707.66,5,0,0,360,5.923,200000.0
43,14,55890.3,629,0.3158,16211.35,business,self_employed,2913.42,0,20893.85,5,0,0,60,6.236,38615.33
55,35,67372.55,630,0.1389,7727.02,medical,salaried,2654.11,1,28750.1,2,0,0,36,5.776,45697.81
39,21,80317.2,600,0.383,26275.55,auto,salaried,2953.7,0,27809.62,5,0,1,240,5.449,47623.09
55,37,36853.51,579,0.2993,,medical,salaried,975.07,1,35398.13,5,0,0,360,6.769,32128.59
22,1,49468.58,629,0.2775,13419.25,home_purchase,salaried,2079.37,2,12038.24,6,0,0,120,6.004,24670.53
48,22,46248.73,601,0.2747,12603.26,home_purchase,salaried,1353.93,0,8768.53,7,0,1,360,5.059,31322.93
40,11,104022.51,629,0.2942,25291.58,medical,salaried,4766.96,3,187454.3,4,0,1,12,7.224,76555.02
37,19,123444.5,643,0.2332,23484.06,auto,salaried,5323.6,1,10684.18,4,0,0,48,7.439,65844.81
40,10,67812.62,586,0.3012,,medical,self_employed,3356.28,1,42473.17,6,0,1,36,7.269,43720.73
22,0,27773.65,585,0.362,8694.26,medical,salaried,806.57,1,6437.5,4,0,1,36,5.764,13555.23
37,14,71685.01,631,0.25,19034.6,auto,contract,3229.57,5,101184.11,5,1,0,24,5.24,51946.57
43,20,104532.84,617,0.2619,23549.25,education,salaried,4528.78,1,113177.41,1,0,0,120,6.559,69173.18
54,32,57966.75,647,0.2467,14579.96,home_purchase,salaried,2864.55,0,27995.54,5,0,0,36,6.846,43823.92
34,12,9113213.89,671,0.2955,61322.35,personal,part_time,8133.53,1,24299.83,4,0,0,60,8.674,200000.0
31,0,60398.76,597,0.2804,14913.87,home_purchase,contract,2880.39,2,18931.63,4,0,0,24,6.154,35472.72
34,12,76630.66,643,0.2406,16381.53,home_purchase,salaried,3870.54,2,41181.11,2,0,0,360,7.244,47828.39
49,18,39066.56,614,0.2877,10914.26,personal,self_employed,1256.03,1,41189.45,11,0,0,48,6.766,32107.29
43,23,98648.94,594,0.3428,34362.46,personal,self_employed,2537.74,1,99311.85,4,0,1,24,7.186,63189.17
34,9,80387.05,533,0.2577,,personal,part_time,2978.55,3,77902.51,8,0,1,360,8.014,47892.28
45,14,44935.82,635,0.3047,14934.43,home_purchase,self_employed,1881.05,0,7356.8,1,0,0,180,7.352,31988.66
40,14,119781.47,680,0.2604,27592.96,business,salaried,3981.4,2,46835.8,6,0,0,60,7.759,68645.08
49,24,57941.85,645,0.2817,15893.39,auto,salaried,1680.72,2,20903.01,1,1,0,84,7.421,39480.45
32,14,50998.22,610,0.2819,11681.6,business,salaried,1549.41,0,25526.22,4,1,1,180,6.118,30466.14
36,14,80801.29,626,0.2738,,home_purchase,salaried,3631.75,1,52924.04,4,0,0,120,7.071,49777.33
36,15,52442.03,616,0.3128,17743.93,refinance,part_time,1618.54,4,100927.08,4,0,0,240,7.753,40787.43
25,7,35787.35,625,0.1952,7665.09,business,part_time,1713.49,1,15560.63,3,0,1,360,4.719,22196.03
42,19,158439.07,676,0.2045,27529.86,personal,salaried,5966.73,2,122820.44,3,0,0,84,6.207,94102.21
42,23,48662.19,637,0.1818,8845.28,auto,contract,2567.61,0,,4,0,0,48,6.61,36024.92
40,20,92753.87,692,0.3268,34950.12,refinance,salaried,3449.8,2,19468.15,1,0,1,60,4.739,56682.58
37,9,49426.92,580,0.3602,15564.55,auto,salaried,2158.21,4,35441.02,3,1,0,24,7.524,32972.81
25,7,45731.67,603,0.1761,6676.81,auto,salaried,1158.61,0,47587.5,4,0,1,120,5.581,27322.72
35,7,63527.33,590,0.3099,17795.7,medical,self_employed,2050.45,3,15335.94,6,0,0,60,7.545,36115.76
36,17,253270.51,718,0.211,44984.75,education,contract,11417.7,1,400031.5,7,0,1,240,7.102,167513.49
31,2,97813.01,631,0.2992,24099.68,auto,salaried,4985.59,0,76279.57,3,0,0,84,7.221,60780.95
38,18,83368.54,608,0.2987,22161.79,education,salaried,4264.79,0,,3,0,1,60,6.701,51247.94
44,26,50905.38,570,0.2956,14252.62,personal,salaried,1644.0,0,79175.83,1,0,1,36,7.705,38641.98
58,35,48667.0,587,0.2904,15509.59,education,salaried,2067.41,0,36422.06,6,0,0,24,8.24,39532.74
41,17,31516.34,625,0.3236,8460.9,education,contract,835.03,1,,8,0,1,60,7.522,25532.65
42,22,162351.33,662,0.2228,43035.33,education,salaried,7102.69,0,179513.08,5,0,1,60,6.157,105697.56
39,15,75694.1,625,0.2535,,education,self_employed,2039.85,0,5579.18,2,0,1,36,6.96,41223.79
22,4,23728.16,597,0.3204,8533.92,business,salaried,824.04,0,6359.77,5,0,0,36,6.387,12872.58
39,17,73271.26,664,0.2942,17291.51,personal,salaried,3868.64,0,40681.63,9,0,1,180,7.327,48511.69
